chapter,constraint,value,text
15,chapitre,15,"chambre de bonne,5
Smautf"
15,1A_position,"monter, + haut que sol", 
15,1a_activite,tenir un morceau de bois, 
15,1B_citation_1,Borges, 
15,1b_citation_2,Butor, 
15,2A_nombre_personnes,1, 
15,2a_role,fournisseur, 
15,2B_3e_secteur,fait divers, 
15,2b_ressort_,revenir de voyage, 
15,3A_murs,toile de Jouy, 
15,3a_sols,parquet a point de Hongrie, 
15,3B_epoque,19eme, 
15,3b_lieu,Afrique du Nord, 
15,4A_style,Regency bateau …, 
15,4a_meubles,"bahut, armoire, maie …", 
15,4B_longueur,4 pages, 
15,4b_divers,litterature danoise, 
15,5A_age_et_sexe,jeune enfant av. 10 ans, 
15,5a_animaux,chat, 
15,5B_vetement,manteau, 
15,5b_tissus_(nature),a pois, 
15,6A_tissus_(matiere),laine, 
15,6a_couleurs,orange, 
15,6B_accessoires,"caleçons, sous-vetements", 
15,6b_bijoux,lunettes, 
15,7A_lectures,"policier, SF", 
15,7a_musiques,contemporain, 
15,7B_tableaux,Nature morte a l'echiquier(Lubin Baugin), 
15,7b_livre,La Disparition(Georges Perec), 
15,8A_boissons,"biere, cidre", 
15,8a_nourriture,zakouskis, 
15,8B_petit_meuble,sculptures mobiles, 
15,8b_jeux,mots croises, 
15,9A_sentiments,douleur, 
15,9a_peintures,gravure, 
15,9B_surface,triangle, 
15,9b_volume,sphere, 
15,0A_vegetal,plantes grasses, 
15,0a_bibelots,"cristal, verre taille", 
15,0B_manque,8, 
15,0b_faux,6, 
15,1C_couple_1,Crime, 
15,1c_couple_2,Bete, 
15,coordonnees,13,Smautf en est aujourd'hui a 76!
15,compendium,3,Le petit chat sourd aux yeux vairons vivant au dernier etage
15,compendium,49,Le barman malais echangeant en pidgin-english sa deesse-mere
15,compendium,111,Le vieux maître d'hotel recalculant sans fin une factorielle
15,histoires,107,"du vieux domestique qui accompagna son maître autour du monde
{Smautf Mortimer et Bartlebooth}"
15,chronologie,janvier 1935,Bartlebooth peint sa premiere aquarelle a Gijon.
15,chronologie,1936,Bartlebooth en Europe;
15,chronologie,1937,Bartlebooth en Europe;
15,chronologie,1938,Bartlebooth en Afrique;
15,chronologie,1939,Bartlebooth en Afrique.
15,chronologie,janvier 1939,Smautf achete un crucifix tricephale dans les souks d'Agadir.
15,chronologie,1940,Bartlebooth en Afrique.
15,chronologie,1941,Bartlebooth en Afrique.
15,chronologie,1942,Bartlebooth en Afrique.
15,chronologie,1943,Bartlebooth en Amerique du Sud.
15,chronologie,1944,Bartlebooth en Amerique du Sud.
15,chronologie,1945,Bartlebooth en Amerique centrale.
15,chronologie,1946,Bartlebooth en Amerique du Nord.
15,chronologie,1947,Bartlebooth en Amerique du Nord.
15,chronologie,1948,Bartlebooth en Amerique du Nord.
15,chronologie,1949,Bartlebooth en Asie.
15,chronologie,1950,Bartlebooth en Asie.
15,chronologie,1951,Bartlebooth en Asie;
15,chronologie,1952,Bartlebooth en Oceanie;
15,chronologie,1953,Bartlebooth sur l'Ocean Indien;
15,chronologie,1953,"aux Seychelles, Smautf echange son crucifix contre une statue de la deesse-mere tricephale."
15,chronologie,21 decembre 1954,Bartlebooth peint sa derniere marine a Brouwershaven
15,chap.99,15,"86,)un chat aux yeux vairons dort chez Smautf"
15,lieux,15,"Sous les toits, ... , la chambre de Mortimer Smautf, le vieux maître d'Hotel de Bartlebooth."
15,personnes,15,La piece est vide.
15,action,15, 
